"country","InternetUsersNumberOfInternetUsers","InternetTraffic12-31-2020","InternetTrafficPercofResidentsWithInternetAccess"
"Guadeloupe",290100,240000,53.4
"Iceland",343400,337194,99.6
"Martinique",303302,303302,80.9
"Mayotte",107940,107940,38.6
"Vanuatu",122900,110000,35
"French Guiana",162800,120000,52.2
"French Polynesia",230000,209744,81.1
"New Caledonia",237826,232368,82
"Barbados",228717,228717,79.9
"Sao Tome and Principe",63864,63864,28.6
"Samoa",141500,134500,67.2
"Curacao",151274,151274,91.6
"Saint Lucia",142970,142970,79.6
"Guam",181200,149500,105.8
"Kiribati",61100,51300,49.9
"Grenada",92200,69245,81.3
"Micronesia",56193,56193,48
"Jersey",87900,70000,83.9
"Tonga",80100,75400,74.4
"Seychelles",71300,71300,72.1
"Aruba",111800,100000,104
"Saint Vincent and the Grenadines",91200,76984,81.8
"United States Virgin Islands",67540,63529,64.8
"Antigua and Barbuda",79731,81900,80.3
"Isle of Man",71200,52000,83
"Andorra",73101,73101,94.4
"Dominica",51992,49687,71.9
"Cayman Islands",73800,54630,110.2
"Bermuda",61969,60122,100.1
"Guernsey",55807,55807,79.9
"Greenland",52000,52000,91.3
"Faroe Islands",48489,48489,98.6
"Saint Kitts and Nevis",45800,43618,85.1
"Turks and Caicos Islands",37000,28000,93.5
"Sint Maarten",39100,33000,89.5
"American Samoa",34800,32400,63.3
"Marshall Islands",25000,23000,41.8
"Liechtenstein",38306,37674,100
"Monaco",38507,38124,97
"San Marino",20428,20270,60
"Gibraltar",32939,32939,97.8
"Saint Martin",19900,16100,50
"British Virgin Islands",25024,14620,81.9
"Palau",18900,14000,103.6
"Cook Islands",13100,11377,69.5
"Anguilla",13665,12557,89.8
"Nauru",10200,6418,93.3
"Tuvalu",6400,6400,53.2
"Wallis and Futuna",6200,6000,56.7
"Saint Barthelemy",7079,7240,71.3
"Saint Pierre and Miquelon",5200,5033,90.5
"Montserrat",3400,3200,68
"Falkland Islands",3600,2900,98.5
"Niue",1485,1485,90.3
"Tokelau",800,800,58.3
"Vatican City",583,480,72.5
